date,museum,_ - _ - artist,_ - _ - artist - artist,designer,title,medium
1988-01-01T00:00:00Z,m+,,Ishimaru Co. Ltd.,Ishimaru Co. Ltd.,Miss Blanche,plastic
1988-01-01T00:00:00Z,m+,,,Ishimaru Co. Ltd.,Miss Blanche,epoxy-coated anodized aluminium
1989-01-01T00:00:00Z,m+,,Ohashi Teruaki,Ohashi Teruaki,Donald Duck A,tubular steel
1989-01-01T00:00:00Z,m+,,Inoue Industries Inc.,Inoue Industries Inc.,Donald Duck A,polyurethane foam
1989-01-01T00:00:00Z,m+,,Viale,Viale,Donald Duck A,synthetic leather
1989-01-01T00:00:00Z,m+,,,Viale,Donald Duck A,leotard fabric
1989-01-01T00:00:00Z,m+,,,Viale,Donald Duck A,chrome
1989-01-01T00:00:00Z,m+,,,Viale,Donald Duck A,
1989-01-01T00:00:00Z,m+,,,Viale,Donald Duck A,steel
1989-01-01T00:00:00Z,m+,,,Viale,Donald Duck A,lauan plywood
1981-01-01T00:00:00Z,m+,,Uchida Shigeru,Uchida Shigeru,Nirvana,enamel
1981-01-01T00:00:00Z,m+,,,Uchida Shigeru,Nirvana,steel
1981-01-01T00:00:00Z,m+,,,Uchida Shigeru,Nirvana,brass-plated
1981-01-01T00:00:00Z,m+,,,Uchida Shigeru,Nirvana,upholstery
1981-01-01T00:00:00Z,m+,,,Uchida Shigeru,Nirvana,cushion
1954-01-01T00:00:00Z,m+,,Charlotte Perriand,Charlotte Perriand,Ombre,beech plywood
1954-01-01T00:00:00Z,m+,,"Tendo Co., Ltd.","Tendo Co., Ltd.",Ombre,
1954-01-01T00:00:00Z,m+,,Hardware Shokai,Hardware Shokai,Ombre,
2011-01-01T00:00:00Z,m+,,Zhang Zhoujie,Zhang Zhoujie,"Paper models, Digital Lab Furniture",cardboard
2006-01-01T00:00:00Z,m+,,Estudio Campana,Estudio Campana,Una Famiglia,wicker
2006-01-01T00:00:00Z,m+,,,Estudio Campana,Una Famiglia,plastic
2006-01-01T00:00:00Z,m+,,,Estudio Campana,Una Famiglia,iron
2009-01-01T00:00:00Z,m+,,Gunjan Gupta,Gunjan Gupta,Gadda Walla Bicycle Throne,silk
2009-01-01T00:00:00Z,m+,,Wrap,Wrap,Gadda Walla Bicycle Throne,steel
2009-01-01T00:00:00Z,m+,,,Wrap,Gadda Walla Bicycle Throne,foam
2009-01-01T00:00:00Z,m+,,,Wrap,Gadda Walla Bicycle Throne,recycled bicycle parts
